"url","id","definition_it","definition_en","label_it","label_en"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/01","01","Immobile destinato ad uso residenziale","Property intended for residential use","RESIDENZIALE","RESIDENTIAL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/02","02","Immobile destinato ad uso commerciale","Property intended for commercial use","COMMERCIALE","COMMERCIAL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/03","03","Immobile destinato ad uso terziario e direzionale","Property intended for tertiary and managerial use","TERZIARIO - DIREZIONALE","TERTIARY - MANAGERIAL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/04","04","Immobile destinato ad uso logistico e produttivo","Property intended for logistics and production use","LOGISTICO - PRODUTTIVO","LOGISTICS - PRODUCTION"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/05","05","Immobile destinato ad uso culturale","Property intended for cultural use","CULTURALE","CULTURAL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/06","06","Immobile destinato ad uso sportivo","Property intended for sports use","SPORTIVO","SPORTS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/07","07","Immobile destinato ad uso ludico e ricreativo","Property intended for recreational use","LUDICO - RICREATIVO","RECREATIONAL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/08","08","Immobile destinato ad uso turistico e ricettivo","Property intended for tourism and hospitality use","TURISTICO - RICETTIVO","TOURISM - HOSPITALITY"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/09","09","Immobile destinato alla ristorazione","Property intended for catering and food service","RISTORAZIONE","CATERING"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/10","10","Immobile destinato a servizi","Property intended for services","SERVIZI","SERVICES"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/11","11","Immobile destinato ad uso militare","Property intended for military use","MILITARE","MILITARY"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/12","12","Immobile destinato a luogo di culto","Property intended as a place of worship","LUOGO DI CULTO","PLACE OF WORSHIP"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/13","13","Immobile destinato ad attrezzatura tecnologica","Property intended for technological equipment","ATTREZZATURA TECNOLOGICA","TECHNOLOGICAL EQUIPMENT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/14","14","Immobile destinato ad uso speciale","Property intended for special use","USO SPECIALE","SPECIAL USE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/15","15","Immobile con destinazione d'uso mista","Property with mixed use destination","MISTO","MIXED USE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/16","16","Area destinata a cava, miniera o torbiera","Area intended for quarry, mine or peat bog","CAVA/MINIERA/TORBIERA","QUARRY/MINE/PEAT BOG"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/17","17","Area con resti o sito archeologico","Area with archaeological remains or site","RESTO/SITO ARCHEOLOGICO","ARCHAEOLOGICAL REMAINS/SITE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/18","18","Opere infrastrutturali","Infrastructure works","OPERE INFRASTRUTTURALI","INFRASTRUCTURE WORKS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/19","19","Immobile monumentale","Monumental property","MONUMENTO","MONUMENT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/20","20","Strade o piazze","Streets or squares","STRADA O PIAZZE","STREET OR SQUARE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/21","21","Area cimiteriale","Cemetery area","CIMITERO","CEMETERY"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/22","22","Area destinata a parcheggio","Area intended for parking","PARCHEGGIO","PARKING"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/23","23","Immobile carcerario","Prison property","CARCERE","PRISON"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/24","24","Immobile destinato a ospedale o casa di cura","Property intended for hospital or nursing home","OSPEDALE/CASA DI CURA","HOSPITAL/NURSING HOME"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/25","25","Immobile museale","Museum property","MUSEO","MUSEUM"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/26","26","Immobile scolastico","School property","SCUOLA","SCHOOL"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/27","27","Ricovero antiaereo","Air raid shelter","RICOVERO ANTIAEREO","AIR RAID SHELTER"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/28","28","Cabina elettrica","Electrical substation","CABINA ELETTRICA","ELECTRICAL SUBSTATION"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/29","29","Stabilimento balneare","Bathing establishment","STABILIMENTO BALNEARE","BATHING ESTABLISHMENT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/30","30","Faro","Lighthouse","FARO","LIGHTHOUSE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/31","31","Area aeroportuale","Airport area","AEROPORTO","AIRPORT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/32","32","Area edificabile","Buildable area","AREA EDIFICABILE","BUILDABLE AREA"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/33","33","Area demaniale con costruzione di terzi","State property area with third-party construction","AREA DEMANIALE CON COSTRUZIONE DI TERZI","STATE PROPERTY AREA WITH THIRD-PARTY CONSTRUCTION"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoDestinazioneUsoImmobile/34","34","Area coltivata","Cultivated area","AREA COLTIVATA","CULTIVATED AREA"
