"url","id","definition_it","definition_en","label_it","label_en"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/01","01","Accesso pedonale","Pedestrian access","PEDONALE","PEDESTRIAN"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/02","02","Accesso pedonale ad unità comune","Pedestrian access to common unit","PEDONALE AD UNITA' COMUNE","PEDESTRIAN TO COMMON UNIT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/03","03","Accesso pedonale ad unità immobiliare autonoma","Pedestrian access to autonomous property unit","PEDONALE AD UNITA' IMMOBILIARE AUTONOMA","PEDESTRIAN TO AUTONOMOUS UNIT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/04","04","Accesso carrabile","Vehicular access","CARRABILE","VEHICULAR"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/05","05","Accesso carrabile ad unità comune","Vehicular access to common unit","CARRABILE AD UNITA' COMUNE","VEHICULAR TO COMMON UNIT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/06","06","Accesso carrabile ad unità immobiliare autonoma","Vehicular access to autonomous property unit","CARRABILE AD UNITA' IMMOBILIARE AUTONOMA","VEHICULAR TO AUTONOMOUS UNIT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/07","07","Accesso misto","Mixed access","MISTO","MIXED"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/08","08","Accesso misto ad unità comune","Mixed access to common unit","MISTO AD UNITA' COMUNE","MIXED TO COMMON UNIT"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/NA","NA","Accesso non ammesso","Access not allowed","NON AMMESSO","NOT ALLOWED"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoAccessoImmobile/ND","ND","Tipo di accesso non definito","Access type not defined","NON DEFINITO","NOT DEFINED"
